,d2l,lon,lat
0,-0.1159498314267653,10.3033529899,47.8092648866
1,-0.11603497681255777,10.303434868,47.8091929967
2,-0.11608919052921947,10.3035175026,47.8091205873
3,-596878.7144658717,0.3036044552,47.8090445441
4,-0.11659848583991012,10.3036958423,47.8089647878
5,-596880.0369187577,0.3037923826,47.8088807121
6,-596880.7309794341,0.3038940922,47.8087923261
7,-0.11830579199378206,10.3040013341,47.8086993381
8,-0.11870883864905592,10.3041109206,47.8086045267
9,-0.11911989049410618,10.304223818,47.8085070623
10,-596883.5972547656,0.3043380202,47.8084086781
11,-0.11917518441798516,10.3044536998,47.8083092189
12,-0.11899854101672389,10.3045699894,47.8082094222
13,-0.11877136952986783,10.3046862243,47.8081098465
14,-0.11843255799082911,10.3048025951,47.8080103181
15,-0.11822158530288845,10.3049181278,47.8079116546
16,-0.11796284271533657,10.3050318753,47.8078146529
17,-0.11770946646612289,10.3051461695,47.8077173155
18,-0.11744211502062792,10.3052616368,47.8076191055
19,-0.11713708429729847,10.3053776696,47.8075205395
20,-0.1167751385892102,10.3054942746,47.8074216129
21,-0.11634509894241249,10.3056095775,47.8073239163
22,-0.11584714383194894,10.3057262889,47.8072251576
23,-0.11522376377881473,10.3058432131,47.8071263602
24,-0.1143549261864194,10.3059603157,47.8070275668
25,-596893.0313192192,0.3060777812,47.8069286051
26,-0.12800911356251074,10.3061948645,47.8068300731
27,-0.11647306263122814,10.3063114109,47.8067321054
28,-0.11488526233747152,10.3064279971,47.8066342293
29,-596895.1847469313,0.3065456545,47.8065355681
30,-0.12037900083514663,10.3066634017,47.8064369214
31,-0.12246926761071861,10.3067813828,47.8063381384
32,-0.12313589637543894,10.3068992798,47.8062394563
33,-0.12253219162395927,10.3070170213,47.8061409121
34,-0.11732000424526583,10.3073714612,47.8058442178
35,-0.11452401846562936,10.3077240699,47.8055491037
36,-0.119107918114189,10.3081913966,47.8051584439
37,-0.11571097530664272,10.3087809453,47.8046654992
38,-0.11675506059140828,10.3092484042,47.8042744808
39,-0.11701765163038198,10.3097188515,47.8038809964
40,-0.11704282599576558,10.3101927241,47.8034847185
41,-0.11697909472384123,10.3106643662,47.8030904111
42,-0.1168560985463404,10.3111342903,47.8026977032
43,-0.11662173563618329,10.3116046506,47.8023049066
44,-0.11823833301764407,10.3120781253,47.8019099555
45,-0.1158482483958022,10.3126686398,47.8014171518
46,-0.11637711617066321,10.3131408558,47.8010228022
47,-0.11732450186305604,10.3136138008,47.8006278854
48,-0.11749863823770648,10.3140860701,47.8002335644
49,-0.11733166985966462,10.3145590101,47.7998386449
50,-0.11693126952682269,10.3150323711,47.7994433123
51,-0.11614190387422255,10.3155043679,47.7990491643
52,-0.1240772518677386,10.315976424,47.7986553707
53,-0.10409050767042799,10.316447147,47.7982621371
54,-0.11190173319064341,10.3170369828,47.7977692846
55,-0.13175826436671303,10.317506346,47.7973794853
56,-0.13931525217689714,10.3179761544,47.7969870386
57,-0.13290973472943843,10.3184424753,47.7965885716
58,-0.11257755464555043,10.3188972513,47.7961862937
59,-0.08635805453352596,10.3193422538,47.7957796989
60,-596959.7177489613,0.3197804214,47.7953679131
61,-0.0985727429579079,10.3202038514,47.7949516093
62,-0.107473828884245,10.320618692,47.7945277989
63,-0.11089014142228745,10.3210228884,47.7940981655
64,-0.10508661447047342,10.3214106114,47.7936669496
65,-0.09234022201937223,10.3217874215,47.7932270331
66,-0.11556923306443379,10.3221508042,47.7927834416
67,-0.09413414558468583,10.3225020181,47.7923359893
68,-0.09229304345899506,10.3229254047,47.7917697001
69,-597062.8614148034,0.3232502935,47.7913122061
70,-0.08752177812887121,10.3235595712,47.7908550398
71,-0.08382496331835577,10.3238580945,47.7903905547
72,-597115.9151667306,0.3241434064,47.7899217771
73,-0.07720755675851583,10.3244152765,47.7894491206
74,-0.07300398008481543,10.3247369464,47.7888519124
75,-0.07405945231572154,10.3249795556,47.7883704993
76,-0.07176446525626225,10.3252082381,47.7878867904
77,-0.07224497142775445,10.3254234228,47.7873997572
78,-597257.6988596659,0.3256234322,47.7869134261
79,-0.06226147666894005,10.3258096863,47.7864259112
80,-0.061684979962795004,10.3259838791,47.7859317556
81,-0.051797866340560605,10.3261425304,47.7854390645
82,-0.06328190491998922,10.3262875381,47.7849454857
83,-0.053649399153947216,10.32641976,47.7844474904
84,-0.04260270960925092,10.3265637897,47.7838241922
85,-0.04135848570162729,10.3266634689,47.7833220128
86,-0.04018411649333917,10.3267490783,47.7828211711
87,-597537.5928504468,0.3268211689,47.7823198671
88,-0.06334412024938726,10.3268798601,47.7818140135
89,-0.028554472905497445,10.3269238907,47.7813074832
90,-0.030251401579705475,10.3269591596,47.7806728756
91,-0.018516420194107118,10.3269707458,47.7801670372
92,-0.024144651029696804,10.3269689619,47.7796606385
93,-597771.9570036787,0.3269529399,47.7791533581
94,-0.014948495140743227,10.3269221718,47.7786476333
95,-0.01862726292310824,10.3268776424,47.7781421245
96,-0.005278612192170907,10.3268181863,47.7776365617
97,-0.0031318895407086603,10.3267451422,47.7771335622
98,-597982.450986755,0.3266588683,47.7766312641
99,0.0032666031847015486,10.3265317502,47.7760095727
